Time,Position,theta,Force
0.62,0.0616799,2.75196,0
0.621,0.0665931,2.76193,0
0.622,0.071557,2.77197,0
0.623,0.0765713,2.78207,0
0.624,0.0816359,2.79224,0
0.625,0.0867505,2.80247,0
0.626,0.0919147,2.81275,0
0.627,0.0971281,2.8231,0
0.628,0.10239,2.83351,0
0.629,0.107701,2.84398,0
0.63,0.113059,2.85451,0
0.631,0.118463,2.8651,0
0.632,0.123914,2.87575,0
0.633,0.12941,2.88645,0
0.634,0.134951,2.89721,0
0.635,0.140534,2.90803,0
0.636,0.14616,2.9189,0
0.637,0.151827,2.92982,0
0.638,0.157533,2.94079,0
0.639,0.163278,2.95181,0
0.64,0.169059,2.96287,0
0.641,0.174875,2.97398,0
0.642,0.180725,2.98514,0
0.643,0.186606,2.99633,0
0.644,0.192518,3.00756,0
0.645,0.198457,3.01883,0
0.646,0.204422,3.03013,0
0.647,0.21041,3.04146,0
0.648,0.21642,3.05282,0
0.649,0.22245,3.0642,0
0.65,0.228496,3.07561,0
0.651,0.234557,3.08703,0
0.652,0.240629,3.09847,0
0.653,0.246712,3.10992,0
0.654,0.252801,3.12139,0
0.655,0.258895,3.13285,0
0.656,0.264991,3.14432,0
0.657,0.271086,3.15579,0
0.658,0.277178,3.16725,0
0.659,0.283264,3.17871,0
0.66,0.289342,3.19016,0
0.661,0.29541,3.20159,0
0.662,0.301464,3.213,0
0.663,0.307502,3.2244,0
0.664,0.313522,3.23577,0
0.665,0.319522,3.24712,0
0.666,0.325499,3.25843,0
0.667,0.331452,3.26972,0
0.668,0.337377,3.28097,0
0.669,0.343274,3.29218,0
0.67,0.349139,3.30335,0
0.671,0.354972,3.31449,0
0.672,0.36077,3.32557,0
0.673,0.366533,3.33662,0
0.674,0.372257,3.34761,0
0.675,0.377943,3.35855,0
0.676,0.383587,3.36945,0
0.677,0.38919,3.38029,0
0.678,0.39475,3.39107,0
0.679,0.400266,3.4018,0
0.68,0.405736,3.41247,0
0.681,0.411161,3.42309,0
0.682,0.416539,3.43364,0
0.683,0.421869,3.44414,0
0.684,0.42715,3.45457,0
0.685,0.432383,3.46495,0
0.686,0.437566,3.47526,0
0.687,0.4427,3.48551,0
0.688,0.447783,3.4957,0
0.689,0.452816,3.50582,0
0.69,0.457798,3.51588,0
0.691,0.462728,3.52588,0
0.692,0.467608,3.53582,0
0.693,0.472436,3.54569,0
0.694,0.477213,3.5555,0
0.695,0.481939,3.56525,0
0.696,0.486613,3.57493,0
0.697,0.491236,3.58455,0
0.698,0.495808,3.59411,0
0.699,0.500329,3.60361,0
0.7,0.504799,3.61305,0
0.701,0.509219,3.62242,0
0.702,0.513588,3.63173,0
0.703,0.517907,3.64099,0
0.704,0.522176,3.65018,0
0.705,0.526396,3.65932,0
0.706,0.530566,3.66839,0
0.707,0.534687,3.67741,0
0.708,0.53876,3.68637,0
0.709,0.542784,3.69527,0
0.71,0.54676,3.70412,0
0.711,0.550689,3.71291,0
0.712,0.55457,3.72164,0
0.713,0.558405,3.73032,0
0.714,0.562194,3.73895,0
0.715,0.565936,3.74752,0
0.716,0.569632,3.75604,0
0.717,0.573284,3.7645,0
0.718,0.576891,3.77292,0
0.719,0.580453,3.78128,0
0.72,0.583971,3.78959,0
0.721,0.587446,3.79785,0
0.722,0.590877,3.80606,0
0.723,0.594266,3.81422,0
0.724,0.597613,3.82234,0
0.725,0.600917,3.8304,0
0.726,0.60418,3.83842,0
0.727,0.607402,3.8464,0
0.728,0.610584,3.85432,0
0.729,0.613725,3.8622,0
0.73,0.616826,3.87004,0
0.731,0.619887,3.87783,0
0.732,0.62291,3.88558,0
0.733,0.625894,3.89328,0
0.734,0.628839,3.90094,0
0.735,0.631747,3.90856,0
0.736,0.634617,3.91614,0
0.737,0.63745,3.92368,0
0.738,0.640247,3.93117,0
0.739,0.643007,3.93863,0
0.74,0.645731,3.94604,0
0.741,0.648419,3.95342,0
0.742,0.651072,3.96076,0
0.743,0.65369,3.96806,0
0.744,0.656274,3.97532,0
0.745,0.658823,3.98254,0
0.746,0.661339,3.98973,0
0.747,0.663821,3.99688,0
0.748,0.666269,4.004,0
0.749,0.668685,4.01108,0
0.75,0.671069,4.01812,0
0.751,0.67342,4.02513,0
0.752,0.67574,4.03211,0
0.753,0.678027,4.03905,0
0.754,0.680284,4.04596,0
0.755,0.68251,4.05283,0
0.756,0.684705,4.05967,0
0.757,0.68687,4.06648,0
0.758,0.689005,4.07326,0
0.759,0.69111,4.08001,0
0.76,0.693185,4.08672,0
0.761,0.695232,4.09341,0
0.762,0.69725,4.10006,0
0.763,0.699239,4.10669,0
0.764,0.701199,4.11328,0
0.765,0.703132,4.11984,0
0.766,0.705037,4.12638,0
0.767,0.706915,4.13289,0
0.768,0.708765,4.13936,0
0.769,0.710589,4.14581,0
0.77,0.712385,4.15223,0
0.771,0.714155,4.15863,0
0.772,0.715899,4.16499,0
0.773,0.717617,4.17133,0
0.774,0.71931,4.17765,0
0.775,0.720977,4.18393,0
0.776,0.722618,4.19019,0
0.777,0.724235,4.19643,0
0.778,0.725827,4.20264,0
0.779,0.727394,4.20882,0
0.78,0.728937,4.21498,0
0.781,0.730456,4.22111,0
0.782,0.731951,4.22722,0
0.783,0.733423,4.23331,0
0.784,0.73487,4.23937,0
0.785,0.736295,4.24541,0
0.786,0.737697,4.25142,0
0.787,0.739076,4.25741,0
0.788,0.740432,4.26338,0
0.789,0.741766,4.26932,0
0.79,0.743077,4.27524,0
0.791,0.744367,4.28114,0
0.792,0.745635,4.28702,0
0.793,0.746881,4.29287,0
0.794,0.748106,4.2987,0
0.795,0.749309,4.30451,0
0.796,0.750492,4.3103,0
0.797,0.751653,4.31607,0
0.798,0.752794,4.32182,0
0.799,0.753915,4.32755,0
0.8,0.755014,4.33325,0
0.801,0.756094,4.33894,0
0.802,0.757154,4.3446,0
0.803,0.758194,4.35025,0
0.804,0.759214,4.35587,0
0.805,0.760215,4.36148,0
0.806,0.761197,4.36706,0
0.807,0.762159,4.37263,0
0.808,0.763103,4.37818,0
